Group,No,Category,,
,1.0,Acoustics/Resonance,,
,2.0,Sound,,
Noise ,3.0,Noise ,,
,4.0,Vibration,,
,5.0,Infrasound,,
,6.0,Ultrasound,,
,7.0,Magnestism-EMF-EMI,,
,,Legal & Law Enforcment,,
,,,,
,,,,
Noise ,3.0,Noise ,Range,Definition
Noise ,3.1,White Noise,,
Noise ,3.2,Pink Noise,,
Noise ,3.3,Grey Noise,,
Noise ,3.4,Blue Noise,,
Noise ,3.5,Green Noise,,
Noise ,3.6,Purple Noise,,
Noise ,3.7,Broadband Noise,,
,,,,
,,Microphone,,
,,Transducer Microphone,,
,,,,
,,,,
,,Speakers,Range,Specific Purpose - Notable Feature
,,Subwoofer,,
,,Ultrasonic,,
,,Tweeter,,
,,,,
,2.0,Sound,Range,Definition
,2.1,Infrasound,,
,2.2,Ultrasound,,
,2.3,Audible,,
,2.4,Inaudible,,
,2.5,Hearing Range Min/Max,,
,2.6,Hearing Range for Testing,,
,,,,
,,Waveform,Feature,Definition
,,Sine,,
,,Triangle,,
,,Square,,
,,Saw,,
,,Fundamental,,
,,Harmonics,,
,,,,
,,,,
,,Techniques - General,,
,,Pitch Shifting,,
,,Frequency Shifting,,
,,,,
,,,,
,,,,
,,Techniques,,
,,,,
,,,,
,,,,
,,,,
,,Techniques - Detection,,
,,,,
,,,,
,,Legal & Law Enforcment,,
,,Audio/Sound Harrasment,,
,,Infrasound Harrasment,,
,,Ultrasound Harrasment,,
,,Amplitude Harrasment,,
,,Acoustic Violence,,
,,Domestic Terrorism,,
,,,,
,,Noise Cancellation,,
,,Active Noise Cancellation ANC,,
,,,,
,,,,
,,,,
,,,,
,4.0,Vibration,,
,5.0,Infrasound,,
,6.0,Ultrasound,,
,7.0,EMF,,
,8.0,EMI,,
,9.0,Magnetism,,
,10.0,Legal & Law Enforcment,,
